,0
1286,NPFFR2
1287,RETN
1288,UTS2B
1289,P2RY6
1290,CDKN1B
1291,NTSR2
1292,COMMD6
1293,GAST
1294,PLD1
1295,DCTN1
1296,GPR65
1297,XCR1
1298,CCKAR
1299,BARD1
1300,NTSR1
1301,RHOQ
1302,CHRM5
1303,DCTN6
1304,TACR2
1305,MRPS7
1306,AVPR1B
1307,GRK5
1308,MLN
1309,P2RY10
1310,FFAR2
1311,NOP14
1312,VEGFA
1313,PROC
1314,PTGFR
1315,HTR2B
1316,ATR
1317,TRHR
1318,HCRTR1
1319,VCP
1320,FFAR3
1321,CENPP
1322,LRP2
1323,HGF
1324,KIFAP3
1325,KIF23
1326,GPR4
1327,PROK1
1328,DCUN1D5
1329,COMMD1
1330,GRPR
1331,PPP2R2A
1332,DCTN5
1333,KAT2A
1334,GRP
1335,QRFPR
1336,FRK
1337,COMMD4
1338,COMMD8
1339,CYC1
1340,CYFIP1
1341,HSPA9
1342,EPS15
1343,CTSZ
1344,M6PR
1345,COMMD2
1346,ACTN2
1347,NPFFR1
1348,GNRH1
1349,ATP6V1D
1350,IRF3
1351,LTB4R
1352,NMBR
1353,CCDC22
1354,CENPI
1355,ESPL1
1356,FGB
1357,COMMD10
1358,SP1
1359,PDGFB
1360,IMP3
1361,KIF15
1362,CCKBR
1363,RRP9
1364,BMS1
1365,CENPU
1366,IRF7
1367,C4A
1368,TMEM30A
1369,COMMD7
1370,COMMD3
1371,ATP8A1
1372,TMED9
1373,GPR143
1374,GSK3B
1375,DCUN1D4
1376,NDUFC2
1377,PROK2
1378,COMMD9
1379,CENPM
1380,CENPC
1381,RAB27A
1382,RNF2
1383,ARCN1
1384,COL7A1
1385,TMED3
1386,CENPN
1387,PLAU
1388,CMTM6
1389,COPE
1390,APOA5
1391,NDC80
1392,RAB7A
1393,DCTN4
1394,CASC5
1395,PML
1396,CENPQ
1397,EED
1398,FFAR4
1399,CENPO
1400,IMP4
1401,CLTCL1
1402,HSP90B1
1403,SLCO4C1
1404,RHOT1
1405,CHRNB4
1406,EIF4A1
1407,RHOG
1408,DNM3
1409,TOM1
1410,SMAD3
1411,RANGAP1
1412,PELP1
1413,FGFR1OP
1414,MPHOSPH10
1415,SERPINC1
1416,TBL3
1417,SMAD4
1418,SYNJ1
1419,IGFBP3
1420,NCOR2
1421,INCENP
1422,CAPZA3
1423,SYK
1424,EPN1
1425,SPP1
1426,CENPL
1427,HLA-E
1428,SLC18A3
1429,IL7R
1430,ARHGEF25
1431,CYBA
1432,CENPK
1433,CYBB
1434,CENPJ
1435,ATP5B
1436,CENPT
1437,FBL
1438,CD47
1439,CENPH
1440,SYNJ2
1441,WDR3
1442,GOSR2
1443,PIK3CB
1444,NCOA2
1445,SPP2
1446,TXNDC5
1447,UTP6
1448,ERCC1
1449,SF1
1450,EZH2
1451,DAB2
1452,RHOH
1453,SH3GL1
1454,CISH
1455,RHOD
1456,DDB1
1457,STAT1
1458,ATF2
1459,SH3GL3
1460,NUP214
1461,CDC6
1462,VWF
1463,LRRC8A
1464,MTF1
1465,CENPF
1466,NSF
1467,SURF4
1468,UTP15
1469,KRR1
1470,WDR43
1471,CEP164
1472,MAPK11
1473,STON1
1474,WDR46
1475,SYT8
1476,LDLR
1477,RHOT2
1478,FOLR1
1479,PLAUR
1480,RUNX1
1481,PTEN
1482,KIF5B
1483,NUP153
1484,TNC
1485,CFP
1486,USO1
1487,POLD1
1488,PNPLA2
1489,SYT9
1490,ADAM8
1491,CD177
1492,BIN1
1493,CDK9
1494,PLK4
1495,PPARGC1A
1496,MYC
1497,FNBP1L
1498,CHEK1
1499,GNAS
1500,STON2
1501,AGO1
1502,SGIP1
1503,SNAP91
1504,DDX52
1505,PTPRB
1506,WDR36
1507,CIRH1A
1508,ITGA1
1509,RHOJ
1510,LAIR1
1511,TEX10
1512,ATP5A1
1513,DDX49
1514,REPS1
1515,AGFG1
1516,NFKBIA
1517,KIAA0319
1518,RHOBTB1
1519,FBN1
1520,RHOU
1521,FTL
1522,CLEC12A
1523,TPR
