"id","tissue","FileID","group","sex"
"3697","hippocampus","JB165","7d_DSS_7d_H2O","M"
"3698","hippocampus","JB166","5d_DSS","M"
"3699","hippocampus","JB167","7d_DSS_2d_H2O","M"
"3700","hippocampus","JB168","7d_DSS_7d_H2O","M"
"3701","hippocampus","JB169","7d_DSS","M"
"3702","hippocampus","JB170","7d_DSS","M"
"3703","hippocampus","JB171","7d_DSS","M"
"3704","hippocampus","JB172","7d_DSS_2d_H2O","M"
"3705","hippocampus","JB173","7d_DSS_2d_H2O","M"
"3706","hippocampus","JB174","7d_DSS_5d_H2O","F"
"3707","hippocampus","JB175","7d_DSS_7d_H2O","F"
"3708","hippocampus","JB176","7d_DSS_5d_H2O","F"
"3709","hippocampus","JB177","5d_DSS","F"
"3710","hippocampus","JB178","7d_DSS","F"
"3711","hippocampus","JB179","7d_DSS_5d_H2O","M"
"3712","hippocampus","JB180","7d_DSS_7d_H2O","M"
"3713","hippocampus","JB181","7d_DSS_7d_H2O","M"
"3714","hippocampus","JB182","5d_DSS","F"
"3716","hippocampus","JB183","5d_DSS","M"
"3717","hippocampus","JB184","5d_DSS","M"
"3962","hippocampus","JB185","7d_DSS_14d_H2O","M"
"3963","hippocampus","JB186","7d_DSS_14d_H2O","M"
"3964","hippocampus","JB187","7d_DSS_14d_H2O","M"
"3965","hippocampus","JB188","7d_DSS_14d_H2O","F"
"3966","hippocampus","JB189","7d_DSS_14d_H2O","F"
"3967","hippocampus","JB190","7d_DSS_14d_H2O","F"
"3968","hippocampus","JB191","7d_DSS_14d_H2O","F"
"3970","hippocampus","JB192","7d_DSS_2d_H2O","M"
"3971","hippocampus","JB193","7d_DSS_14d_H2O","M"
"FC1","hippocampus","JB194","Untreated","F"
"FC2","hippocampus","JB195","Untreated","F"
"FC3","hippocampus","JB196","Untreated","F"
"FC4","hippocampus","JB197","Untreated","F"
"FC5","hippocampus","JB198","Untreated","F"
"3394","striatum","JB199","Untreated","F"
"3395","striatum","JB200","Untreated","F"
"3402","striatum","JB201","Untreated","F"
"3430","striatum","JB202","Untreated","M"
"3450","striatum","JB203","Untreated","M"
"3474","striatum","JB204","Untreated","M"
"3507","striatum","JB205","Untreated","M"
"3560","striatum","JB206","5d_DSS","M"
"3562","striatum","JB207","5d_DSS","M"
"3563","striatum","JB208","5d_DSS","M"
"3564","striatum","JB209","5d_DSS","F"
"3565","striatum","JB210","5d_DSS","F"
"3566","striatum","JB211","7d_DSS_2d_H2O","F"
"3567","striatum","JB212","7d_DSS_5d_H2O","F"
"3568","striatum","JB213","7d_DSS_7d_H2O","F"
"3571","striatum","JB214","7d_DSS_5d_H2O","M"
"3677","striatum","JB215","Untreated","M"
"3678","striatum","JB216","Untreated","M"
"3680","striatum","JB217","Untreated","M"
"3681","striatum","JB218","Untreated","M"
"3684","striatum","JB219","7d_DSS","M"
"3685","striatum","JB220","7d_DSS","M"
"3686","striatum","JB221","7d_DSS_2d_H2O","M"
"3687","striatum","JB222","7d_DSS_2d_H2O","F"
"3688","striatum","JB223","7d_DSS_2d_H2O","F"
"3690","striatum","JB224","7d_DSS_5d_H2O","M"
"3691","striatum","JB225","7d_DSS","F"
"3692","striatum","JB226","7d_DSS","F"
"3693","striatum","JB227","7d_DSS_7d_H2O","F"
"3694","striatum","JB228","7d_DSS_2d_H2O","F"
"3695","striatum","JB229","7d_DSS_5d_H2O","M"
"3696","striatum","JB230","7d_DSS_7d_H2O","M"
"3697","striatum","JB231","7d_DSS_7d_H2O","M"
"3698","striatum","JB232","5d_DSS","M"
"3699","striatum","JB233","7d_DSS_2d_H2O","M"
