"id","group","sex","sac_day_weight","sac_day_DAI","spleen_weight","colon_length","circulating_LBP","circulating_IL10","circulating_IL5","circulating_IL6","circulating_KCGRO","circulating_TNF","circulating_CRP","circulating_LCN2"
"3695","7d_DSS_5d_H2O","M","26",3,0.102,8,2.232727273,3.72216444118803,1.84472848747063,51.3091991546494,134.223550292726,6.21176152188758,5363299.88192689,281373.36251954
"3695","7d_DSS_5d_H2O","M","26",3,0.102,8,2.232727273,3.72216444118803,1.84472848747063,51.3091991546494,134.223550292726,6.21176152188758,5363299.88192689,67333.8225114206
"3711","7d_DSS_5d_H2O","M","22.9",1,0.1545,9,1.803636364,11.5853955387005,2.9259764032093,77.6947335358499,265.97836816077,5.61333915326483,4839400.5098298,171851.120998461
"3568","7d_DSS_7d_H2O","F","20",2,0.1176,6.2,0.442181818,10.1318419431328,7.49517427582719,78.2133606483902,97.2593657905734,6.36396358332642,4465707.28118606,86473.9398694333
"3693","7d_DSS_7d_H2O","F","18.5",1,0.1224,7.2,1.773090909,12.5781564862361,2.22032816491041,263.123987662733,235.756756667874,9.36107938500964,NA,NA
"3707","7d_DSS_7d_H2O","F","18.8",1,0.102,5.5,4.522181818,8.4574317435981,2.02648536164699,302.349550161484,258.008495118478,5.52187003616775,5484888.8833573,410910.143274553
"3696","7d_DSS_7d_H2O","M","23.4",1,0.0892,7,0.858181818,9.14032009104561,1.59350809451729,10.8453159923284,72.6647528237898,5.88495680103705,4415812.92822459,41133.5595927476
"3697","7d_DSS_7d_H2O","M","26.8",0,0.0837,6.7,0.901818182,7.12274237532124,3.47653624210083,5.67791893574354,78.4922155823696,4.70793865500629,7038805.70438586,25814.1510473653
"3700","7d_DSS_7d_H2O","M","24.6",4,0.1601,6.2,2.210909091,10.8437812800521,2.49082660808085,32.9008499761772,186.161900762583,4.61506941619367,5228536.50316528,147992.567085076
"3712","7d_DSS_7d_H2O","M","26.2",2,0.2306,7,2.398545455,10.3957948475417,5.04276569853968,74.9455912878571,122.45159399791,5.36552945436002,4293013.53360742,106590.645294935
"3713","7d_DSS_7d_H2O","M","26.9",2,0.1483,6,1.053090909,9.33560916474598,2.32224503665833,91.5359017838116,210.164836548114,7.48637045317471,5870087.89474159,141167.841393073
"3965","7d_DSS_14d_H2O","F","19.2",2,0.1051,4.9,5.904,14.5733010182008,3.38770349676469,32.2426242813489,54.0153561162326,7.78680888666972,4815892.98623345,77708.2239123647
"3966","7d_DSS_14d_H2O","F","19.100000000000001",1,0.0745,6.1,1.234909091,10.8254045346485,2.80227936293657,22.3342235124515,35.6700578272206,5.60583037014803,3576856.61286124,21709.4949625477
"3967","7d_DSS_14d_H2O","F","18.3",1,0.0633,5.9,3.089454545,11.4233142699478,4.57477409732105,11.0135654736933,38.1838608527469,6.12263479891827,4551055.48046028,40156.643408513
"3968","7d_DSS_14d_H2O","F","18",0,0.0761,6.4,1.264,8.53404279561542,3.16556642662649,65.781758837342,73.9434441131322,6.01716846609809,3536573.81740528,52874.6675654751
"3962","7d_DSS_14d_H2O","M","27.6",0,0.201,5.9,1.256727273,10.2206618890974,4.37026155854781,32.5599759221949,78.5010943006873,4.41161602229669,4074850.06901262,61073.4371273214
"3963","7d_DSS_14d_H2O","M","27.5",2,0.1129,9,1.824,12.7926374798121,2.78476491037757,265.304321958511,279.929983922663,7.27314516272545,4910237.64985841,104673.90726061
"3964","7d_DSS_14d_H2O","M","26.8",1,0.1088,7.8,2.449454545,7.52149036874132,2.93095838123509,114.616231410465,193.308179571876,8.41470092255537,5531237.52535123,87336.8006636022
"3971","7d_DSS_14d_H2O","M","24.9",1,0.2032,7.2,2.507636364,10.6583050468775,2.89260037812985,203.372128754775,155.392532542816,8.07795341142723,5337025.5160707,200551.001918235
"FC1","Untreated","F","N/A",NA,0.0711,5.5,1.860363636,5.8897720006047,2.12974826355632,3.64972281852056,54.0007678139392,4.42213518862308,4380113.29228888,12809.6581375189
